Title,Year,Director,Producer(s),Cast,Synopsis,Ref.
Dostana,2008,Tarun Mansukhani,"Karan Johar,Hiroo Johar","Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol","Two men in Miami pretend to be gay to share an apartment with a young woman, but they both eventually fall in love with her.",[36][37]
Wake Up Sid![b],2009,Ayan Mukerji,"Karan Johar,Hiroo Johar","Ranbir Kapoor, Konkona Sen Sharma",The life of a lazy young man changes for the better when he begins living with an aspiring writer.,[38][44]
Kurbaan[b],2009,Rensil D'Silva,"Karan Johar,Hiroo Johar","Saif Ali Khan, Kareena Kapoor, Vivek Oberoi","A terrorist dupes a woman into marrying him, so he can enter the United States. He keeps her under house-arrest, but she attempts to foil his plans.",[39][45]
My Name Is Khan[c],2010,Karan Johar,"Hiroo Johar,Gauri Khan","Shah Rukh Khan, Kajol","In post-9/11 America, an Indian-born Muslim man suffering from Asperger syndrome travels to meet the President of America on the insistence of his wife.",[46][47]
I Hate Luv Storys[b],2010,Punit Malhotra,"Karan Johar,Hiroo Johar,Ronnie Screwvala","Imran Khan, Sonam Kapoor, Sammir Dattani",An engaged woman develops a one-sided attraction towards a commitment-phobic co-worker.,[40][48]
We Are Family[d],2010,Siddharth Malhotra,"Karan Johar,Hiroo Johar","Kajol, Kareena Kapoor, Arjun Rampal","A man's newly married wife must look after his kids from his first marriage, after his ex-wife is diagnosed with cancer.",[49][50]
Agneepath,2012,Karan Malhotra,"Karan Johar,Hiroo Johar","Hrithik Roshan, Rishi Kapoor, Sanjay Dutt, Priyanka Chopra",A common man seeks revenge from an unscrupulous man for wrongly framing and murdering his father.,[51][52]
Ek Main Aur Ekk Tu[b],2012,Shakun Batra,"Karan Johar,Hiroo Johar,Ronnie Screwvala","Imran Khan, Kareena Kapoor","An under-confident man accidentally marries a free-spirited woman. After deciding to annul the marriage, she helps him overcome his insecurities.",[41][53]
Student of the Year[a],2012,Karan Johar,"Hiroo Johar,Gauri Khan","Sidharth Malhotra, Varun Dhawan, Alia Bhatt, Rishi Kapoor",The friendship of three school students is tested when they have to compete with each other in an annual school competition.,[32][54]
Gippi[b],2013,Sonam Nair,"Karan Johar,Hiroo Johar","Riya Vij, Divya Dutta, Taaha Shah",An overweight teenage girl from a broken home must overcome her inhibitions and stand against a popular girl for the annual school elections.,[42][55]
Yeh Jawaani Hai Deewani[b],2013,Ayan Mukerji,"Karan Johar,Hiroo Johar","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin",A man and a woman of contrasting personalities fall in love during the course of a common friend's wedding.,[43][56]
The Lunchbox[e],2013,Ritesh Batra,"Guneet Monga,Anurag Kashyap,Arun Rangachari","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui",An unhappy housewife and a lonely widower correspond through letters in hope of a better future with each other.,[57][58]
Gori Tere Pyaar Mein,2013,Punit Malhotra,"Karan Johar,Hiroo Johar","Imran Khan, Kareena Kapoor","To woo his lady love, a social worker, a man must travel to a remote village in India where she is working on a project.",[59][60]
Hasee Toh Phasee[f],2014,Vinil Mathew,"Karan Johar,Vikas Bahl,Vikramaditya Motwane,Anurag Kashyap","Sidharth Malhotra, Parineeti Chopra, Adah Sharma","A struggling businessman is sympathetic to his fiancé's sister, a drug abusing scientist, and helps her mend fences with her family.",[61][63]
2 States[g],2014,Abhishek Varman,"Karan Johar,Sajid Nadiadwala","Arjun Kapoor, Alia Bhatt","Two recently graduated students, belonging to different parts of India, face trouble in convincing their parents to approve of their relationship.",[64][65]
Humpty Sharma Ki Dulhania,2014,Shashank Khaitan,"Karan Johar,Hiroo Johar","Varun Dhawan, Alia Bhatt, Sidharth Shukla","A girl's marriage is arranged by her father to a successful NRI doctor, but she engages in an affair with another man.",[66][67]
Ungli,2014,Rensil D'Silva,"Karan Johar,Hiroo Johar","Emraan Hashmi, Sanjay Dutt, Randeep Hooda, Kangana Ranaut","Four friends, impacted by the corruption among politicians, moonlight as vigilantes. A police officer tries to catch them.",[68][69]
Brothers[h],2015,Karan Malhotra,Karan JoharHiroo Johar,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez",The younger son of an alcoholic former boxer competes in a MMA tournament against his older brother.,[70]
Shaandaar[f],2015,Vikas Bahl,"Karan Johar,Vikas Bahl,Vikramaditya Motwane,Anurag Kashyap","Shahid Kapoor, Alia Bhatt, Pankaj Kapur",Two insomniacs fall in love during a destination wedding.,[71]
Kapoor & Sons[i],2016,Shakun Batra,"Karan Johar,Hiroo Johar,Apoorva Mehta","Rishi Kapoor, Sidharth Malhotra, Fawad Khan, Alia Bhatt",Two brothers return home to their dysfunctional family when their grandfather suffers from a cardiac arrest.,[73]
